A,Greedy (A1 Time),Greedy (A1 coin),Greedy (A2 Time),Greedy (A2 coin)
2000,0.0,36,0.0,15
2001,0.0,37,0.0,16
2002,0.0,37,0.0,17
2003,0.0,38,0.0,18
2004,0.0,34,0.0,19
2005,0.0,35,0.0,20
2006,0.0,35,0.0,16
2007,0.0,36,0.0,17
2008,0.0,36,0.0,18
2009,0.0,37,0.0,19
2010,0.0,35,0.0,20
2011,0.0,36,0.0,21
2012,0.0,36,0.0,17
2013,0.0,37,0.0,16
2014,0.0,37,0.0,17
2015,0.0,38,0.0,18
2016,0.0,35,0.0,19
2017,0.0,36,0.0,20
2018,0.0,36,0.0,21
2019,0.0,37,0.0,17
2020,0.0,37,0.0,18
2021,0.0,38,0.0,19
2022,0.0,36,0.0,20
2023,0.0,37,0.0,21
2024,0.0,37,0.0,15
2025,0.0,38,0.0,16
2026,0.0,38,0.0,17
2027,0.0,39,0.0,18
2028,0.0,34,0.0,19
2029,0.0,35,0.0,20
2030,0.0,35,0.0,16
2031,0.0,36,0.0,17
2032,0.0,36,0.0,18
2033,0.0,37,0.0,19
2034,0.0,35,0.0,20
2035,0.0,36,0.0,21
2036,0.0,36,0.0,17
2037,0.0,37,0.0,16
2038,0.0,37,0.0,17
2039,0.0,38,0.0,18
2040,0.0,34,0.0,19
2041,0.0,35,0.0,20
2042,0.0,35,0.0,21
2043,0.0,36,0.0,17
2044,0.0,36,0.0,18
2045,0.0,37,0.0,19
2046,0.0,35,0.0,20
2047,0.0,36,0.0,21
2048,0.0,36,0.0,22
2049,0.0,37,0.0,18
2050,0.0,37,0.0,17
2051,0.0,38,0.0,18
2052,0.0,35,0.0,19
2053,0.0,36,0.0,20
2054,0.0,36,0.0,21
2055,0.0,37,0.0,22
2056,0.0,37,0.0,18
2057,0.0,38,0.0,19
2058,0.0,36,0.0,20
2059,0.01,37,0.0,21
2060,0.0,37,0.0,22
2061,0.0,38,0.0,16
2062,0.0,38,0.0,17
2063,0.0,39,0.0,18
2064,0.0,35,0.0,19
2065,0.0,36,0.0,20
2066,0.0,36,0.0,21
2067,0.0,37,0.0,17
2068,0.0,37,0.0,18
2069,0.0,38,0.0,19
2070,0.0,36,0.0,20
2071,0.0,37,0.0,21
2072,0.0,37,0.0,22
2073,0.0,38,0.0,18
2074,0.0,38,0.0,17
2075,0.0,39,0.0,18
2076,0.0,36,0.0,19
2077,0.0,37,0.0,20
2078,0.0,37,0.0,21
2079,0.0,38,0.0,22
2080,0.0,38,0.0,18
2081,0.0,39,0.0,19
2082,0.0,37,0.0,20
2083,0.0,38,0.0,21
2084,0.0,38,0.0,22
2085,0.0,39,0.0,23
2086,0.0,39,0.0,19
2087,0.0,40,0.0,18
2088,0.0,35,0.0,19
2089,0.0,36,0.0,20
2090,0.0,36,0.0,21
2091,0.0,37,0.0,22
2092,0.0,37,0.0,23
2093,0.0,38,0.0,19
2094,0.0,36,0.0,20
2095,0.0,37,0.0,21
2096,0.0,37,0.0,22
2097,0.0,38,0.0,23
2098,0.0,38,0.0,17
2099,0.0,39,0.0,18
2100,0.0,35,0.0,14
2101,0.0,36,0.0,15
2102,0.0,36,0.0,16
2103,0.0,37,0.0,17
2104,0.0,37,0.0,18
2105,0.0,38,0.0,19
2106,0.0,36,0.0,15
2107,0.0,37,0.0,16
2108,0.0,37,0.0,17
2109,0.0,38,0.0,18
2110,0.0,38,0.0,19
2111,0.0,39,0.0,20
2112,0.0,36,0.0,16
2113,0.0,37,0.0,15
2114,0.0,37,0.0,16
2115,0.0,38,0.0,17
2116,0.0,38,0.0,18
2117,0.0,39,0.0,19
2118,0.0,37,0.0,20
2119,0.0,38,0.0,16
2120,0.0,38,0.0,17
2121,0.0,39,0.0,18
2122,0.0,39,0.0,19
2123,0.0,40,0.0,20
2124,0.0,36,0.0,21
2125,0.0,37,0.0,17
2126,0.0,37,0.0,16
2127,0.0,38,0.0,17
2128,0.0,38,0.0,18
2129,0.0,39,0.0,19
2130,0.0,37,0.0,20
2131,0.0,38,0.0,21
2132,0.0,38,0.0,17
2133,0.0,39,0.0,18
2134,0.0,39,0.0,19
2135,0.0,40,0.0,20
2136,0.0,37,0.0,21
2137,0.0,38,0.0,15
2138,0.0,38,0.0,16
2139,0.0,39,0.0,17
2140,0.0,39,0.0,18
2141,0.0,40,0.0,19
2142,0.0,38,0.0,20
2143,0.0,39,0.0,16
2144,0.0,39,0.0,17
2145,0.0,40,0.0,18
2146,0.0,40,0.0,19
2147,0.0,41,0.0,20
2148,0.0,36,0.0,21
2149,0.0,37,0.0,17
2150,0.0,37,0.0,16
2151,0.0,38,0.0,17
2152,0.0,38,0.0,18
2153,0.0,39,0.0,19
2154,0.0,37,0.0,20
2155,0.0,38,0.0,21
2156,0.0,38,0.0,17
2157,0.0,39,0.0,18
2158,0.0,39,0.0,19
2159,0.0,40,0.0,20
2160,0.0,36,0.0,21
2161,0.0,37,0.0,22
2162,0.0,37,0.0,18
2163,0.0,38,0.0,17
2164,0.0,38,0.0,18
2165,0.0,39,0.0,19
2166,0.0,37,0.0,20
2167,0.0,38,0.0,21
2168,0.0,38,0.0,22
2169,0.0,39,0.0,18
2170,0.0,39,0.0,19
2171,0.0,40,0.0,20
2172,0.0,37,0.0,21
2173,0.0,38,0.0,22
2174,0.0,38,0.0,16
2175,0.0,39,0.0,17
2176,0.0,39,0.0,18
2177,0.0,40,0.0,19
2178,0.0,38,0.0,20
2179,0.0,39,0.0,21
2180,0.0,39,0.0,17
2181,0.0,40,0.0,18
2182,0.0,40,0.0,19
2183,0.0,41,0.0,20
2184,0.0,37,0.0,21
2185,0.0,38,0.0,22
2186,0.0,38,0.0,18
2187,0.0,39,0.0,17
2188,0.0,39,0.0,18
2189,0.0,40,0.0,19
2190,0.0,38,0.0,20
2191,0.0,39,0.0,21
2192,0.0,39,0.0,22
2193,0.0,40,0.0,18
2194,0.0,40,0.0,19
2195,0.0,41,0.0,20
2196,0.0,38,0.0,21
2197,0.0,39,0.0,22
2198,0.0,39,0.0,23
2199,0.0,40,0.0,19
2200,0.0,40,0.0,18
